Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_70064_1 	Loose	33.7	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	81.48
megahit_70418_1 	Loose	34.91	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	176.90
megahit_73765_1 	Loose	25.95	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	73.77
megahit_73981_1 	Loose	33.33	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	37.45
megahit_74014_1 	Loose	35.33	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	39.83
megahit_74014_2 	Loose	31.11	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	96.22
megahit_74014_3 	Loose	28.77	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	104.49
megahit_74111_1 	Loose	46.15	aminoglycoside antibiotic	antibiotic inactivation	cpa acetyltransferase	206.83
megahit_74111_3 	Loose	40.0	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	12.00
megahit_74151_3 	Loose	32.99	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	148.60
megahit_75610_1 	Loose	43.16	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	16.41
megahit_76390_7 	Loose	45.38	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	84.25
megahit_77205_1 	Loose	49.46	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	101.47
megahit_78704_3 	Loose	34.3	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	99.07
megahit_79415_3 	Loose	32.18	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	78.43
megahit_80315_4 	Loose	30.56	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	16.27
megahit_80356_2 	Loose	40.62	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	98.25
megahit_81024_1 	Loose	34.97	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	95.98
megahit_83402_1 	Loose	34.72	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	176.90
megahit_83516_1 	Loose	23.45	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	40.59
megahit_87663_5 	Loose	28.98	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	51.66
megahit_87937_2 	Loose	40.17	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	36.02
megahit_88316_1 	Loose	25.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	82.95
megahit_88905_2 	Loose	26.42	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	70.55
megahit_90454_1 	Loose	34.38	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	72.09
megahit_93119_1 	Loose	34.63	glycopeptide antibiotic	antibiotic target alteration	Van ligase	64.96
megahit_93877_1 	Loose	24.0	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	121.59
megahit_102325_10 	Loose	24.81	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	13.48
megahit_102916_1 	Loose	36.16	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.70
megahit_106178_2 	Loose	36.14	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	29.00
megahit_107677_3 	Loose	26.42	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	70.55
megahit_108923_3 	Loose	27.41	peptide antibiotic; polyamine antibiotic	antibiotic inactivation	Edeine acetyltransferase	108.97
megahit_112986_1 	Loose	29.83	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	28.52
megahit_115288_2 	Loose	38.0	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	34.94
megahit_117976_2 	Loose	28.71	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	112.75
megahit_123073_2 	Loose	48.98	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	17.20
megahit_128684_12 	Loose	25.13	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	109.52
megahit_131408_1 	Loose	32.64	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	72.22
megahit_5686_2 	Loose	26.93	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	105.61
megahit_7168_2 	Loose	41.76	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	95.84
megahit_11525_2 	Loose	33.75	pyrazinamide	antibiotic target alteration	Pyrazinamide resistant pncA	95.16
megahit_12764_8 	Loose	22.87	isoniazid; disinfecting agents and antiseptics	antibiotic target alteration	antibiotic resistant fabI	93.89
megahit_14803_2 	Loose	24.74	nitroimidazole antibiotic	antibiotic target alteration	Antibiotic resistant Helicobacter pylori nitroreductase	97.24
megahit_15330_3 	Loose	23.96	isoniazid	antibiotic target alteration	antibiotic resistant ndh	75.81
megahit_16196_1 	Loose	55.85	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	105.82
megahit_16196_2 	Loose	64.26	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	100.78
megahit_21865_5 	Loose	22.55	peptide antibiotic	antibiotic target alteration; antibiotic efflux	daptomycin resistant liaF	94.24
megahit_41281_1 	Loose	61.57	Para-aminosalicylic acid	antibiotic target alteration	aminosalicylate resistant thymidylate synthase	82.13
megahit_42060_2 	Loose	30.34	isoniazid; disinfecting agents and antiseptics	antibiotic target alteration	antibiotic resistant fabI	88.17
megahit_45797_2 	Loose	36.36	macrolide antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.52
megahit_46386_3 	Loose	44.62	isoniazid; disinfecting agents and antiseptics	antibiotic target alteration	antibiotic resistant fabI	98.09
megahit_52087_1 	Loose	28.32	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	70.26
megahit_54893_1 	Loose	33.86	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	92.31
megahit_68797_1 	Loose	57.19	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	103.77
megahit_80812_1 	Loose	38.25	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	95.01
megahit_16090_1 	Loose	35.71	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	30.38
megahit_25716_2 	Loose	28.97	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.28
megahit_27106_3 	Loose	25.94	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	105.60
megahit_62827_1 	Loose	35.48	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	107.04
megahit_71111_2 	Loose	28.26	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	74.83
megahit_83575_4 	Loose	23.98	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.35
megahit_84533_4 	Loose	25.0	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	67.26
megahit_123073_1 	Loose	30.16	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	93.95
